"id";"id_menu_type";"name";"description";"price";"image";"ordered"
1;1;"Desayuno completo";"Caldo (pescado / costilla / pata / 
pajarilla), huevos al gusto, bebida (chocolate / café / 
aguapanela / tinto), arepa pequeña o pan";"12000";"https://unsplash.com/photos/JVkGUwTYQag/download?ixid=MnwxMjA3fDB8MXxzZWFyY2h8Nnx8Y2FsZG98ZXN8MHx8fHwxNjU2NjcwMTk5&force=true&w=640";0
2;1;"Taza de aguapanela con queso";"Una deliciosa Taza de aguapanela caliente con queso ";"4000";"https://unsplash.com/photos/oBoELXgJR1w/download?ixid=MnwxMjA3fDB8MXxzZWFyY2h8NHx8dCVDMyVBOXxlc3wwfHx8fDE2NTY2OTQxMjM&force=true&w=640";0
3;1;"Huevo con arroz";"Plato de huevo con arroz";"6000";"https://unsplash.com/photos/YWCEn9Jr4gw/download?ixid=MnwxMjA3fDB8MXxzZWFyY2h8MTV8fGh1ZXZvcyUyMGNvbiUyMGFycm96fGVzfDB8fHx8MTY1NjcxNzA3MA&force=true&w=640";0
4;1;"Cacerola con huevos";"Huevos al gusto en cacerola";"4500";"https://unsplash.com/photos/R-J5t4aHj3I/download?ixid=MnwxMjA3fDB8MXxzZWFyY2h8MTl8fGNhY2Vyb2xhJTIwaHVldm9zfGVzfDB8fHx8MTY1NjcxNzUwOQ&force=true&w=640";0
5;1;"Arepa con Queso";"Deliciosa arepa con queso";"2500";"https://unsplash.com/photos/4C_k18o_tnk/download?ixid=MnwxMjA3fDB8MXxzZWFyY2h8MXx8YXJlcGElMjBxdWVzb3xlc3wwfHx8fDE2NTY3ODIyNzc&force=true&w=640";0
6;1;"Chocolate con queso";"Tasa de chocolate con queso";"5000";"https://unsplash.com/photos/8gnJu1Brcpk/download?ixid=MnwxMjA3fDB8MXxzZWFyY2h8NHx8dGF6YSUyMGNob2NvbGF0ZXxlc3wwfHx8fDE2NTY3Nzk1NjE&force=true&w=640";0
7;2;"Combo Familiar";"Combo para cuatro personas";"48000";"https://i.pinimg.com/originals/c5/77/ef/c577efeac84736382690c8824056465b.jpg";0
8;2;"Combo Q´leko al camino";"Combo Q´leko al camino";"40000";"https://unsplash.com/photos/HQ22vVXhWcc/download?i…BvbGxvfGVzfDB8fHx8MTY1Njk0NDA0NA&force=true&w=640";0
9;2;"Combo Dúo";"Combo para dos personas";"25000";"https://unsplash.com/photos/gE28aTnlqJA/download?i…BvbGxvfGVzfDB8fHx8MTY1Njk0NDA0NA&force=true&w=640";0
10;2;"Combo personal";"Combo personal";"16000";"https://unsplash.com/photos/GyV6SL_fKsI/download?ixid=MnwxMjA3fDB8MXxzZWFyY2h8Nnx8cG9sbG98ZXN8MHx8fHwxNjU2OTQ0MDQ0&force=true&w=640";0
11;2;"Combo Q´lekito";"Combo Q´lekito";"13000";"https://unsplash.com/photos/b94AylTxWqA/download?i…YXNhZG98ZXN8MHx8fHwxNjU2OTY0NDUx&force=true&w=640";0
31;3;"Pollo Q'leko al carbón";"Pollo Q'leko al carbón";"35000";"https://unsplash.com/photos/9zLa37VNL38/download?ixid=MnwxMjA3fDB8MXxhbGx8fHx8fHx8fHwxNjU2NjEyMzkw&force=true&w=640";0
32;3;"1/2 Pollo Q'leko al carbón";"1/2 Pollo Q'leko al carbón";"20000";"https://unsplash.com/photos/gE28aTnlqJA/download?ixid=MnwxMjA3fDB8MXxhbGx8fHx8fHx8fHwxNjU2NjQ2MDk3&force=true&w=640";0
